 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.510280E+09   0.225894E+05   0.359521E+04
    2   0.510935E+09   0.226039E+05   0.359752E+04
    3   0.183397E+11   0.135424E+06   0.215534E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      3102  0.1065E-04 -0.1151E-04  0.3633E-03
      3103 -0.5817E-05 -0.5321E-04  0.1446E-02
      3104 -0.1881E-05 -0.1083E-03  0.3148E-02
      3105 -0.2943E-07 -0.1851E-03  0.5447E-02
      3106  0.4730E-07 -0.2800E-03  0.8287E-02
      3107 -0.7658E-07 -0.3909E-03  0.1162E-01
      3108 -0.6511E-07 -0.5164E-03  0.1539E-01
      3109 -0.8073E-07 -0.6546E-03  0.1955E-01
      3110 -0.5109E-07 -0.8041E-03  0.2406E-01
      3111 -0.7747E-07 -0.9633E-03  0.2887E-01
      3112 -0.3505E-07 -0.1131E-02  0.3392E-01
      3113 -0.7367E-07 -0.1305E-02  0.3919E-01
      3114 -0.1876E-07 -0.1485E-02  0.4463E-01
      3115 -0.7156E-07 -0.1669E-02  0.5020E-01
      3116 -0.2895E-08 -0.1856E-02  0.5587E-01
      3117 -0.6979E-07 -0.2045E-02  0.6161E-01
      3118  0.2857E-07 -0.2235E-02  0.6740E-01
      3119 -0.4822E-07 -0.2427E-02  0.7321E-01
      3120 -0.7959E-07 -0.2618E-02  0.7903E-01
      3121 -0.1247E-06 -0.2809E-02  0.8485E-01
      3151  0.0000E+00  0.0000E+00  0.0000E+00
      3152  0.1552E-04 -0.1667E-04  0.3564E-03
      3153  0.1292E-04 -0.5189E-04  0.1419E-02
      3154  0.3035E-04 -0.1076E-03  0.3129E-02
      3155  0.4168E-04 -0.1865E-03  0.5431E-02
      3156  0.5083E-04 -0.2804E-03  0.8273E-02
      3157  0.5767E-04 -0.3921E-03  0.1161E-01
      3158  0.6522E-04 -0.5166E-03  0.1538E-01
      3159  0.7062E-04 -0.6557E-03  0.1955E-01
      3160  0.7656E-04 -0.8043E-03  0.2405E-01
      3161  0.8044E-04 -0.9642E-03  0.2886E-01
      3162  0.8489E-04 -0.1131E-02  0.3392E-01
      3163  0.8741E-04 -0.1306E-02  0.3919E-01
      3164  0.9050E-04 -0.1485E-02  0.4463E-01
      3165  0.9188E-04 -0.1669E-02  0.5020E-01
      3166  0.9381E-04 -0.1856E-02  0.5587E-01
      3167  0.9430E-04 -0.2045E-02  0.6161E-01
      3168  0.9533E-04 -0.2235E-02  0.6740E-01
      3169  0.9528E-04 -0.2427E-02  0.7321E-01
      3170  0.9553E-04 -0.2618E-02  0.7903E-01
      3171  0.9538E-04 -0.2809E-02  0.8485E-01
      3201  0.0000E+00  0.0000E+00  0.0000E+00
      3202  0.1249E-04 -0.1719E-04  0.3135E-03
      3203  0.3359E-04 -0.5289E-04  0.1354E-02
      3204  0.6503E-04 -0.1098E-03  0.3069E-02
      3205  0.8391E-04 -0.1898E-03  0.5376E-02
      3206  0.1033E-03 -0.2824E-03  0.8223E-02
      3207  0.1155E-03 -0.3947E-03  0.1156E-01
      3208  0.1319E-03 -0.5182E-03  0.1534E-01
      3209  0.1414E-03 -0.6579E-03  0.1951E-01
      3210  0.1544E-03 -0.8055E-03  0.2402E-01
      3211  0.1610E-03 -0.9660E-03  0.2884E-01
      3212  0.1709E-03 -0.1132E-02  0.3390E-01
      3213  0.1749E-03 -0.1307E-02  0.3917E-01
      3214  0.1819E-03 -0.1485E-02  0.4461E-01
      3215  0.1838E-03 -0.1670E-02  0.5019E-01
      3216  0.1882E-03 -0.1856E-02  0.5587E-01
      3217  0.1886E-03 -0.2046E-02  0.6161E-01
      3218  0.1909E-03 -0.2235E-02  0.6740E-01
      3219  0.1906E-03 -0.2427E-02  0.7322E-01
      3220  0.1911E-03 -0.2618E-02  0.7904E-01
      3221  0.1908E-03 -0.2809E-02  0.8486E-01
      4001  0.0000E+00  0.0000E+00  0.0000E+00
      4002 -0.3723E-03 -0.9601E-04  0.3183E-03
      4003 -0.7132E-03 -0.1545E-03  0.1362E-02
      4004 -0.1041E-02 -0.2063E-03  0.3073E-02
      4005 -0.1342E-02 -0.2716E-03  0.5377E-02
      4006 -0.1619E-02 -0.3623E-03  0.8226E-02
      4007 -0.1866E-02 -0.4617E-03  0.1156E-01
      4008 -0.2089E-02 -0.5832E-03  0.1534E-01
      4009 -0.2285E-02 -0.7103E-03  0.1951E-01
      4010 -0.2458E-02 -0.8562E-03  0.2402E-01
      4011 -0.2604E-02 -0.1005E-02  0.2883E-01
      4012 -0.2730E-02 -0.1169E-02  0.3389E-01
      4013 -0.2832E-02 -0.1334E-02  0.3916E-01
      4014 -0.2915E-02 -0.1511E-02  0.4461E-01
      4015 -0.2979E-02 -0.1687E-02  0.5018E-01
      4016 -0.3027E-02 -0.1872E-02  0.5586E-01
      4017 -0.3059E-02 -0.2055E-02  0.6160E-01
      4018 -0.3081E-02 -0.2244E-02  0.6739E-01
      4019 -0.3092E-02 -0.2431E-02  0.7320E-01
      4020 -0.3097E-02 -0.2622E-02  0.7902E-01
      4021 -0.3099E-02 -0.2812E-02  0.8484E-01
      4051 -0.1040E-03 -0.2016E-04 -0.1007E-04
      4052 -0.3442E-03 -0.5165E-04  0.3654E-03
      4053 -0.6893E-03 -0.1046E-03  0.1434E-02
      4054 -0.1010E-02 -0.1585E-03  0.3143E-02
      4055 -0.1304E-02 -0.2297E-03  0.5440E-02
      4056 -0.1569E-02 -0.3223E-03  0.8284E-02
      4057 -0.1811E-02 -0.4278E-03  0.1161E-01
      4058 -0.2025E-02 -0.5510E-03  0.1539E-01
      4059 -0.2217E-02 -0.6840E-03  0.1955E-01
      4060 -0.2382E-02 -0.8314E-03  0.2406E-01
      4061 -0.2526E-02 -0.9857E-03  0.2886E-01
      4062 -0.2646E-02 -0.1151E-02  0.3392E-01
      4063 -0.2746E-02 -0.1321E-02  0.3919E-01
      4064 -0.2826E-02 -0.1499E-02  0.4463E-01
      4065 -0.2888E-02 -0.1679E-02  0.5020E-01
      4066 -0.2934E-02 -0.1865E-02  0.5587E-01
      4067 -0.2966E-02 -0.2051E-02  0.6161E-01
      4068 -0.2986E-02 -0.2241E-02  0.6740E-01
      4069 -0.2998E-02 -0.2430E-02  0.7321E-01
      4070 -0.3002E-02 -0.2621E-02  0.7903E-01
      4071 -0.3004E-02 -0.2812E-02  0.8485E-01
      4101  0.0000E+00  0.0000E+00  0.0000E+00
      4102 -0.3184E-03 -0.1909E-04  0.3853E-03
      4103 -0.6648E-03 -0.5529E-04  0.1467E-02
      4104 -0.9777E-03 -0.1125E-03  0.3170E-02
      4105 -0.1262E-02 -0.1893E-03  0.5464E-02
      4106 -0.1519E-02 -0.2842E-03  0.8306E-02
      4107 -0.1753E-02 -0.3949E-03  0.1163E-01
      4108 -0.1961E-02 -0.5204E-03  0.1541E-01
      4109 -0.2146E-02 -0.6584E-03  0.1956E-01
      4110 -0.2307E-02 -0.8079E-03  0.2407E-01
      4111 -0.2446E-02 -0.9669E-03  0.2887E-01
      4112 -0.2562E-02 -0.1134E-02  0.3393E-01
      4113 -0.2659E-02 -0.1308E-02  0.3920E-01
      4114 -0.2736E-02 -0.1488E-02  0.4463E-01
      4115 -0.2796E-02 -0.1672E-02  0.5020E-01
      4116 -0.2841E-02 -0.1859E-02  0.5587E-01
      4117 -0.2872E-02 -0.2048E-02  0.6161E-01
      4118 -0.2891E-02 -0.2238E-02  0.6740E-01
      4119 -0.2902E-02 -0.2430E-02  0.7321E-01
      4120 -0.2907E-02 -0.2621E-02  0.7903E-01
      4121 -0.2908E-02 -0.2812E-02  0.8485E-01
      4151 -0.9049E-04 -0.1525E-04 -0.7378E-05
      4152 -0.3165E-03  0.1584E-04  0.3729E-03
      4153 -0.6452E-03 -0.4871E-05  0.1441E-02
      4154 -0.9445E-03 -0.6793E-04  0.3151E-02
      4155 -0.1220E-02 -0.1501E-03  0.5448E-02
      4156 -0.1468E-02 -0.2473E-03  0.8291E-02
      4157 -0.1695E-02 -0.3630E-03  0.1162E-01
      4158 -0.1895E-02 -0.4907E-03  0.1539E-01
      4159 -0.2075E-02 -0.6336E-03  0.1956E-01
      4160 -0.2229E-02 -0.7852E-03  0.2407E-01
      4161 -0.2365E-02 -0.9487E-03  0.2887E-01
      4162 -0.2476E-02 -0.1118E-02  0.3393E-01
      4163 -0.2571E-02 -0.1296E-02  0.3919E-01
      4164 -0.2645E-02 -0.1477E-02  0.4463E-01
      4165 -0.2704E-02 -0.1665E-02  0.5020E-01
      4166 -0.2746E-02 -0.1853E-02  0.5587E-01
      4167 -0.2777E-02 -0.2045E-02  0.6162E-01
      4168 -0.2796E-02 -0.2236E-02  0.6740E-01
      4169 -0.2807E-02 -0.2429E-02  0.7321E-01
      4170 -0.2811E-02 -0.2620E-02  0.7903E-01
      4171 -0.2813E-02 -0.2812E-02  0.8485E-01
      4201  0.0000E+00  0.0000E+00  0.0000E+00
      4202 -0.2956E-03  0.4603E-04  0.3365E-03
      4203 -0.6237E-03  0.4181E-04  0.1378E-02
      4204 -0.9098E-03 -0.2523E-04  0.3090E-02
      4205 -0.1175E-02 -0.1127E-03  0.5392E-02
      4206 -0.1415E-02 -0.2110E-03  0.8241E-02
      4207 -0.1634E-02 -0.3327E-03  0.1157E-01
      4208 -0.1828E-02 -0.4614E-03  0.1535E-01
      4209 -0.2002E-02 -0.6100E-03  0.1952E-01
      4210 -0.2151E-02 -0.7626E-03  0.2404E-01
      4211 -0.2282E-02 -0.9315E-03  0.2884E-01
      4212 -0.2390E-02 -0.1102E-02  0.3391E-01
      4213 -0.2481E-02 -0.1285E-02  0.3918E-01
      4214 -0.2553E-02 -0.1467E-02  0.4462E-01
      4215 -0.2611E-02 -0.1658E-02  0.5019E-01
      4216 -0.2652E-02 -0.1847E-02  0.5587E-01
      4217 -0.2682E-02 -0.2042E-02  0.6161E-01
      4218 -0.2700E-02 -0.2233E-02  0.6740E-01
      4219 -0.2711E-02 -0.2428E-02  0.7322E-01
      4220 -0.2716E-02 -0.2620E-02  0.7904E-01
      4221 -0.2717E-02 -0.2812E-02  0.8486E-01
      5001  0.0000E+00  0.0000E+00  0.0000E+00
      5002 -0.7314E-03 -0.1882E-03  0.3970E-03
      5003 -0.1395E-02 -0.2500E-03  0.1434E-02
      5004 -0.2029E-02 -0.2957E-03  0.3144E-02
      5005 -0.2621E-02 -0.3548E-03  0.5439E-02
      5006 -0.3149E-02 -0.4359E-03  0.8285E-02
      5007 -0.3635E-02 -0.5300E-03  0.1161E-01
      5008 -0.4061E-02 -0.6422E-03  0.1539E-01
      5009 -0.4446E-02 -0.7642E-03  0.1955E-01
      5010 -0.4774E-02 -0.9012E-03  0.2406E-01
      5011 -0.5064E-02 -0.1045E-02  0.2886E-01
      5012 -0.5301E-02 -0.1201E-02  0.3392E-01
      5013 -0.5503E-02 -0.1362E-02  0.3918E-01
