 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 19
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513275E+09   0.226556E+05   0.360575E+04
    2   0.513275E+09   0.226556E+05   0.360575E+04
    3   0.181452E+11   0.134704E+06   0.214388E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      5067  0.4597E-02  0.7735E-01 -0.1051E-01
      5069  0.4647E-02  0.9196E-01 -0.1248E-01
      5071  0.4658E-02  0.1066E+00 -0.1447E-01
      5101  0.0000E+00  0.0000E+00  0.0000E+00
      5102  0.1083E-03  0.3301E-03 -0.7942E-04
      5103  0.2279E-03  0.1640E-02 -0.2531E-03
      5104  0.3329E-03  0.3758E-02 -0.5407E-03
      5105  0.4303E-03  0.6640E-02 -0.9287E-03
      5106  0.5185E-03  0.1020E-01 -0.1410E-02
      5107  0.5987E-03  0.1439E-01 -0.1975E-02
      5108  0.6702E-03  0.1913E-01 -0.2616E-02
      5109  0.7338E-03  0.2437E-01 -0.3325E-02
      5110  0.7888E-03  0.3004E-01 -0.4092E-02
      5111  0.8365E-03  0.3609E-01 -0.4911E-02
      5112  0.8764E-03  0.4246E-01 -0.5773E-02
      5113  0.9097E-03  0.4910E-01 -0.6671E-02
      5114  0.9361E-03  0.5594E-01 -0.7599E-02
      5115  0.9568E-03  0.6297E-01 -0.8550E-02
      5116  0.9719E-03  0.7011E-01 -0.9518E-02
      5117  0.9825E-03  0.7735E-01 -0.1050E-01
      5118  0.9890E-03  0.8464E-01 -0.1149E-01
      5119  0.9927E-03  0.9196E-01 -0.1248E-01
      5120  0.9941E-03  0.9929E-01 -0.1347E-01
      5121  0.9945E-03  0.1066E+00 -0.1447E-01
      5151  0.0000E+00  0.0000E+00  0.0000E+00
      5153 -0.5959E-03  0.1636E-02 -0.1331E-03
      5155 -0.1142E-02  0.6653E-02 -0.8220E-03
      5157 -0.1596E-02  0.1440E-01 -0.1889E-02
      5159 -0.1958E-02  0.2438E-01 -0.3257E-02
      5161 -0.2235E-02  0.3610E-01 -0.4861E-02
      5163 -0.2433E-02  0.4910E-01 -0.6637E-02
      5165 -0.2561E-02  0.6297E-01 -0.8530E-02
      5167 -0.2632E-02  0.7735E-01 -0.1049E-01
      5169 -0.2662E-02  0.9196E-01 -0.1248E-01
      5171 -0.2669E-02  0.1066E+00 -0.1447E-01
      5201  0.0000E+00  0.0000E+00  0.0000E+00
      5202 -0.7115E-03  0.4374E-03  0.1871E-03
      5203 -0.1439E-02  0.1712E-02 -0.3943E-05
      5204 -0.2116E-02  0.3842E-02 -0.3020E-03
      5205 -0.2737E-02  0.6712E-02 -0.7088E-03
      5206 -0.3298E-02  0.1027E-01 -0.1211E-02
      5207 -0.3810E-02  0.1445E-01 -0.1797E-02
      5208 -0.4265E-02  0.1918E-01 -0.2457E-02
      5209 -0.4670E-02  0.2442E-01 -0.3185E-02
      5210 -0.5021E-02  0.3008E-01 -0.3971E-02
      5211 -0.5325E-02  0.3613E-01 -0.4808E-02
      5212 -0.5579E-02  0.4249E-01 -0.5687E-02
      5213 -0.5791E-02  0.4912E-01 -0.6602E-02
      5214 -0.5959E-02  0.5596E-01 -0.7544E-02
      5215 -0.6092E-02  0.6298E-01 -0.8509E-02
      5216 -0.6188E-02  0.7012E-01 -0.9488E-02
      5217 -0.6256E-02  0.7735E-01 -0.1048E-01
      5218 -0.6298E-02  0.8464E-01 -0.1148E-01
      5219 -0.6321E-02  0.9196E-01 -0.1248E-01
      5220 -0.6331E-02  0.9929E-01 -0.1347E-01
      5221 -0.6334E-02  0.1066E+00 -0.1447E-01
 #### REACTION FORCE 3D
    NODE     X-REAC      Y-REAC      Z-REAC
---------+-----------+-----------+------------
      1001  7.2144E-03 -7.7398E-02 -3.8273E-02
      1051 -2.3550E-01  1.4888E-01 -8.0664E-02
      1101 -4.2473E-03 -8.6352E-02  2.3015E-02
      1151  3.4011E-01  1.4868E-01  1.1060E-01
      1201 -9.4798E-03 -9.0884E-02  6.1110E-02
      2001 -3.4641E-01 -9.7315E-02 -2.0922E-02
      2101  6.6650E-02  9.2684E-02 -3.5724E-02
      2201  4.2452E-01 -1.2327E-01 -1.9459E-02
      3001  3.1299E-02 -1.6960E-01  1.1718E-02
      3051 -4.9115E-01  2.6325E-01 -1.2577E-02
      3101  6.4666E-11 -1.8915E-01  2.5668E-02
      3151  4.9115E-01  2.6325E-01 -1.2577E-02
      3201 -3.1299E-02 -1.6960E-01  1.1718E-02
      4001 -4.2452E-01 -1.2327E-01 -1.9459E-02
      4101 -6.6650E-02  9.2684E-02 -3.5724E-02
      4201  3.4641E-01 -9.7315E-02 -2.0922E-02
      5001  9.4798E-03 -9.0884E-02  6.1110E-02
      5051 -3.4011E-01  1.4868E-01  1.1060E-01
      5101  4.2473E-03 -8.6352E-02  2.3015E-02
      5151  2.3550E-01  1.4888E-01 -8.0664E-02
      5201 -7.2144E-03 -7.7398E-02 -3.8273E-02
 #### NODAL STRESS 3D
 #### STRAIN
     NODE     E11         E22         E33         E12         E23         E13     
  -------+-----------+-----------+-----------+-----------+-----------+-------------
      1001  7.1660E-04 -1.8634E-04 -1.6859E-04  1.0226E-04 -1.2241E-05  2.9766E-05
      1002  7.1660E-04 -1.8634E-04 -1.6859E-04  1.0226E-04 -1.2241E-05  2.9766E-05
      1003  6.8262E-04 -1.8864E-04 -1.8034E-04  1.0861E-04 -5.8475E-06  7.2498E-06
      1004  6.4865E-04 -1.9095E-04 -1.9210E-04  1.1495E-04  5.4596E-07 -1.5267E-05
      1005  5.9259E-04 -1.7569E-04 -1.7670E-04  1.1445E-04  2.4819E-07 -1.6843E-05
      1006  5.3652E-04 -1.6043E-04 -1.6130E-04  1.1395E-04 -4.9571E-08 -1.8420E-05
      1007  4.8333E-04 -1.4480E-04 -1.4508E-04  1.1195E-04  6.1802E-09 -1.8132E-05
      1008  4.3013E-04 -1.2916E-04 -1.2886E-04  1.0995E-04  6.1931E-08 -1.7844E-05
      1009  3.7892E-04 -1.1387E-04 -1.1351E-04  1.0654E-04  6.7702E-08 -1.7298E-05
      1010  3.2770E-04 -9.8578E-05 -9.8162E-05  1.0313E-04  7.3472E-08 -1.6752E-05
